,Unnamed: 0,Unnamed: 0.1,Localisation,Emplacement,name,date,Nombre de chambres,Prix par nuit,Nombre de voyageurs,Nombre de lits,Nombre de salles de bains,Localisation2,Vue sur le jardin_True,Vue sur la vallée_True,Vue sur la montagne_True,Baignoire_True,Sèche-cheveux_True,Bidet_True,Eau chaude_True,Lave-linge_True,Equipements de base_True,Cintres_True,Draps_True,Oreillers_True,Fer à repasser_True,Armoire_True,TV_True,Livres_True,Ventilateurs_True,Chauffage_True,Wifi_True,Cuisine_True,Four_True,Vaisselle et couverts_True,Jardin privé_True,Garage résidentiel_True,Parking gratuit_True,Ascenseur_True,Climatisation_True,Piscine_True,Vue sur le lac_True,Vue sur la baie_True,Saison,Score,Score1,Score2,Logement codé
235,235,288,"Lierna, Italie","Emplacement4,8",Logement entier : appartement ⸱ Chez Bookiply,24 juin 2022 - 26 juin 2022,1.0,148.0,4.0,2.0,1.0,lierna,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0.0,0.1281157411696357,0.0037268221039105,-0.4220035905726078,4.0
236,236,289,"Bellano, Lombarofa, Italie",empty,Chambre privée dans : logement de vacances ⸱ Chez Sybille Georgette,17 juin 2022 - 19 juin 2022,1.0,160.0,2.0,1.0,1.0,bellano,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0.0,0.2576900423520566,0.0476592619790708,-0.4177276187457954,2.0
237,237,290,"Côme, Lombarofa, Italie","Emplacement4,8",Logement entier : appartement ⸱ Chez Ioria,24 juin 2022 - 26 juin 2022,0.0,80.0,2.0,2.0,1.0,côme,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
238,238,291,"Nesso, Lombarofa, Italie","Emplacement4,6",Logement entier : appartement ⸱ Chez Lidia,24 juin 2022 - 26 juin 2022,2.0,78.0,5.0,4.0,1.0,nesso,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0,0.2988993276815751,0.1578016255820545,0.0685890651517421,4.0
239,239,292,"Breglia, Lombarofa, Italie","Emplacement4,8",Logement entier : appartement ⸱ Chez Lucia,10 juin 2022 - 12 juin 2022,1.0,62.0,2.0,1.0,1.0,breglia,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0
240,240,293,"Vercana, Lombarofa, Italie","Emplacement4,6",Logement entier : appartement ⸱ Chez Rent All Como,3 juin 2022 - 5 juin 2022,2.0,342.0,5.0,3.0,1.0,vercana,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0.0,0.074935542787435,-0.2522718927850195,-0.6100286576898919,4.0
241,241,294,"Civenna, Lombarofa, Italie","Emplacement4,9",Logement entier : suite ⸱ Chez Eva,17 juin 2022 - 19 juin 2022,1.0,120.0,4.0,2.0,1.0,civenna,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0.0,0.7106187799332806,0.5328621259408851,0.3204039827972422,6.0
242,242,295,"Perledo, Lombarofa, Italie",empty,Logement entier : appartement ⸱ Chez Andrea,10 juin 2022 - 12 juin 2022,2.0,89.0,4.0,2.0,1.0,perledo,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0.0,-0.037922890743022,-0.2815730808570904,-0.7216937737979147,4.0
243,243,297,"Dongo, Lombarofa, Italie","Emplacement4,2",Logement entier : appartement ⸱ Chez Halldis,24 juin 2022 - 26 juin 2022,2.0,133.0,4.0,2.0,1.0,dongo,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0.0,-0.090603529855506,-0.2914907288415643,-0.6705557971586087,4.0
244,244,298,"Dervio, Lombarofa, Italie","Emplacement4,8",Logement entier : appartement en résidence ⸱ Chez Ugo,24 juin 2022 - 26 juin 2022,1.0,50.0,5.0,3.0,1.0,dervio,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0.0,0.1582008724235818,0.0650449788874601,-0.5613695333043418,4.0
245,245,299,"Domaso, Lombarofa, Italie","Emplacement4,5",Logement entier : appartement ⸱ Chez Gianmaria,10 juin 2022 - 12 juin 2022,1.0,85.0,4.0,2.0,1.0,domaso,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0.0,0.272667673488249,0.209454745731595,-0.3717237346263095,4.0
246,246,300,"Côme, Lombarofa, Italie","Emplacement5,0",Logement entier : appartement en résidence ⸱ Chez Enrico,8 juil. 2022 - 10 juil. 2022,1.0,95.0,4.0,2.0,1.0,côme,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
247,247,301,"Perledo, Lombarofa, Italie","Emplacement4,6",Chambre privée dans : logement ⸱ Chez Matteo,1 juil. 2022 - 3 juil. 2022,1.0,27.0,1.0,1.0,1.0,perledo,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1.0,-0.037922890743022,-0.2815730808570904,-0.7216937737979147,2.0
248,248,302,"Côme, Lombarofa, Italie","Emplacement4,3",Logement entier : appartement ⸱ Chez Marta,8 juil. 2022 - 10 juil. 2022,1.0,55.0,3.0,2.0,1.0,côme,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
249,249,303,"Côme, Lombarofa, Italie","Emplacement5,0",Logement entier : appartement ⸱ Chez Silvia,8 juil. 2022 - 10 juil. 2022,1.0,80.0,2.0,1.0,1.0,côme,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,4.0
250,250,304,"Côme, Lombarofa, Italie","Emplacement4,9",Chambre privée dans : appartement ⸱ Chez Marti,29 juil. 2022 - 31 juil. 2022,1.0,65.0,1.0,1.0,1.0,côme,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1.0,0.8659905893408593,0.6803338171262701,0.8659905893408593,1.0
251,251,305,"Lezzeno, Lombarofa, Italie","Emplacement4,8",Chambre privée dans : chambre d'hôtes ⸱ Chez Linda E Luigi,8 juil. 2022 - 10 juil. 2022,1.0,85.0,1.0,1.0,1.0,lezzeno,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1.0,0.506530001165745,0.3577657426106119,0.2296803591609717,1.0
